#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq
GCA_000970065.1	PRJNA230937	SAMN03074573		na	1434106	2208	Methanosarcina barkeri 227	strain=227		latest	Complete Genome	Major	Full	2015/04/07	ASM97006v1	University of Illinois at Urbana-Champaign	GCF_000970065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/065/GCA_000970065.1_ASM97006v1	
GCA_000970305.1	PRJNA230938	SAMN03074574		representative genome	1434107	2208	Methanosarcina barkeri 3	strain=3		latest	Complete Genome	Major	Full	2015/04/07	ASM97030v1	University of Illinois at Urbana-Champaign	GCF_000970305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/305/GCA_000970305.1_ASM97030v1	
GCA_001027005.1	PRJNA49587	SAMN02866457		na	796385	2208	Methanosarcina barkeri CM1	strain=CM1		latest	Complete Genome	Major	Full	2015/06/03	ASM102700v1	PGgRc	GCF_001027005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/005/GCA_001027005.1_ASM102700v1	
GCA_001316305.1	PRJDB882	SAMD00016803	BBEF00000000.1	na	1298606	2208	Methanosarcina barkeri JCM 10043	strain=JCM 10043		latest	Contig	Major	Full	2015/10/06	ASM131630v1	The University of Tokyo	GCF_001316305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/305/GCA_001316305.1_ASM131630v1	many frameshifted proteins
GCA_000007065.1	PRJNA300	SAMN02603290		na	192952	2209	Methanosarcina mazei Go1	strain=Go1		latest	Complete Genome	Major	Full	2002/05/20	ASM706v1	Gottingen Genomics Laboratory	GCF_000007065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/065/GCA_000007065.1_ASM706v1	
GCA_000341715.1	PRJNA176295	SAMN02603746		na	1236903	2209	Methanosarcina mazei Tuc01	strain=Tuc01		latest	Complete Genome	Major	Full	2013/02/22	ASM34171v1	Rede Paraense de Genomica e Proteomica	GCF_000341715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/715/GCA_000341715.1_ASM34171v1	missing tRNA genes
GCA_000970165.1	PRJNA230950	SAMN03074586		na	1434117	2209	Methanosarcina mazei WWM610	strain=WWM610		latest	Complete Genome	Major	Full	2015/04/07	ASM97016v1	University of Illinois at Urbana-Champaign	GCF_000970165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/165/GCA_000970165.1_ASM97016v1	
GCA_000970185.1	PRJNA230948	SAMN03074584		na	1434115	2209	Methanosarcina mazei SarPi	strain=SarPi		latest	Complete Genome	Major	Full	2015/04/07	ASM97018v1	University of Illinois at Urbana-Champaign	GCF_000970185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/185/GCA_000970185.1_ASM97018v1	
GCA_000970205.1	PRJNA230947	SAMN03074583		na	213585	2209	Methanosarcina mazei S-6	strain=S-6		latest	Complete Genome	Major	Full	2015/04/07	ASM97020v1	University of Illinois at Urbana-Champaign	GCF_000970205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/205/GCA_000970205.1_ASM97020v1	
GCA_000970225.1	PRJNA230946	SAMN03074582		na	1434114	2209	Methanosarcina mazei LYC	strain=LYC		latest	Complete Genome	Major	Full	2015/04/07	ASM97022v1	University of Illinois at Urbana-Champaign	GCF_000970225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/225/GCA_000970225.1_ASM97022v1	
GCA_000970245.1	PRJNA230945	SAMN03074581		representative genome	1434113	2209	Methanosarcina mazei C16	strain=C16		latest	Complete Genome	Major	Full	2015/04/07	ASM97024v1	University of Illinois at Urbana-Champaign	GCF_000970245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/245/GCA_000970245.1_ASM97024v1	
GCA_000978935.1	PRJNA242781	SAMN02708945	JJPF00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.A.2.5		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000978935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/935/GCA_000978935.1_gtlEnvA5udCFS	
GCA_000978945.1	PRJNA242781	SAMN02708944	JJPB00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.A.1A.3		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000978945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/945/GCA_000978945.1_gtlEnvA5udCFS	
GCA_000978955.1	PRJNA242781	SAMN02708974	JJOU00000000.1	na	2209	2209	Methanosarcina mazei	strain=2.F.T.2.6		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000978955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/955/GCA_000978955.1_gtlEnvA5udCFS	
GCA_000978965.1	PRJNA242781	SAMN02708961	JJPI00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.T.1A.1		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000978965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/965/GCA_000978965.1_gtlEnvA5udCFS	
GCA_000979015.1	PRJNA242781	SAMN02708987	JJPO00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.A.2.1		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/979/015/GCA_000979015.1_gtlEnvA5udCFS	
GCA_000979025.1	PRJNA242781	SAMN02708951	JJPR00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.A.2.6		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/979/025/GCA_000979025.1_gtlEnvA5udCFS	
GCA_000979035.1	PRJNA242781	SAMN02708985	JJPU00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.M.1B.1		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/979/035/GCA_000979035.1_gtlEnvA5udCFS	
GCA_000979045.1	PRJNA242781	SAMN02708954	JJPW00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.M.1B.5		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/979/045/GCA_000979045.1_gtlEnvA5udCFS	
GCA_000979095.1	PRJNA242781	SAMN02708964	JJPX00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.M.2.7		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/979/095/GCA_000979095.1_gtlEnvA5udCFS	
GCA_000979105.1	PRJNA242781	SAMN02708932	JJQA00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.F.A.1A.3		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/979/105/GCA_000979105.1_gtlEnvA5udCFS	
GCA_000979115.1	PRJNA242781	SAMN02708956	JJQD00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.F.A.2.8		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/979/115/GCA_000979115.1_gtlEnvA5udCFS	
GCA_000979125.1	PRJNA242781	SAMN02708967	JJQE00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.F.M.0.5		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/979/125/GCA_000979125.1_gtlEnvA5udCFS	
GCA_000979175.1	PRJNA242781	SAMN02708968	JJQH00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.1A.3		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/979/175/GCA_000979175.1_gtlEnvA5udCFS	
GCA_000979185.1	PRJNA242781	SAMN02708935	JJQI00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.1A.4		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/979/185/GCA_000979185.1_gtlEnvA5udCFS	
